Rk.   Player Name               Team       Scoring Rtg     GP    MPG   PPG   FG%/3P%/FT%          TSA/G
289   Jonathan Kuminga          GSW        14.3059034      10    13.1  4.2   38.5/9.1/84.6        4.5  
290   Romeo Langford            SAS        14.00021691     7     16.2  4.3   41.9/14.3/75.0       4.7  
291   George Hill               MIL        13.44574673     12    22.7  5.5   37.7/23.1/71.4       5.4  
292   Maxi Kleber               DAL        12.90226128     12    25.9  4.8   39.2/28.1/75.0       4.7  
293   Kevon Harris              ORL        12.72272658     9     13.6  3.9   32.3/36.4/78.6       4.1  
294   Ben Simmons               BKN        12.08826443     9     27.3  5.2   44.4/0.0/46.7        5.7  
295   Wesley Matthews           MIL        11.77842079     12    16.7  3.7   31.1/31.4/83.3       4.0  
296   Killian Hayes             DET        11.62274593     14    20.5  5.3   29.6/25.0/80.0       7.3  
297   Nicolas Batum             LAC        11.54696678     13    17.6  3.5   35.7/30.0/77.8       3.5  
298   Ousmane Dieng             OKC        11.15314266     9     15.0  3.3   33.3/22.7/50.0       4.1  
299   T.J. McConnell            IND        10.90721428     11    15.9  3.8   37.7/0.0/66.7        4.9  
300   Christian Koloko          TOR        10.49812362     14    17.1  3.7   40.8/0.0/60.0        4.1  
301   Reggie Bullock            DAL        10.49766628     12    28.7  4.7   29.7/29.4/60.0       5.5  
302   JT Thor                   CHA        9.95451085      13    11.0  2.7   31.6/20.0/77.8       3.2  
303   Jordan McLaughlin         MIN        9.65383052      12    15.6  3.2   37.5/10.5/100.0      3.6  
304   Alex Caruso               CHI        9.62607395      14    25.2  4.4   32.1/30.3/75.0       4.6  
305   Patrick Beverley          LAL        9.21063141      10    28.4  4.9   28.6/26.7/92.9       5.5  
306   Isaac Okoro               CLE        6.92189674      13    15.8  2.6   33.3/7.1/75.0        3.2  
