Rk.   Player Name               Team       Scoring Rtg     GP    MPG   PPG   FG%/3P%/FT%          TSA/G
66    Max Strus                 MIA        44.54983157     13    32.6  15.5  46.5/38.7/82.4       12.7 
67    Nic Claxton               BKN        44.49723199     13    28.3  12.2  71.3/0.0/39.5        9.1  
68    Bones Hyland              DEN        44.40158166     9     20.8  14.0  38.8/50.0/76.9       12.7 
69    Bam Adebayo               MIA        44.08844692     13    34.9  18.2  53.4/0.0/85.5        15.6 
70    Franz Wagner              ORL        44.01686635     13    34.1  18.3  49.0/23.1/85.0       16.4 
71    Marcus Morris Sr.         LAC        43.68377269     11    31.4  14.7  49.2/39.7/100.0      12.3 
72    Fred VanVleet             TOR        43.31104856     10    36.5  18.4  40.8/42.2/82.9       16.2 
73    Aaron Gordon              DEN        43.30793063     13    29.0  14.5  57.6/31.4/62.3       11.4 
74    Malcolm Brogdon           BOS        43.23702761     11    23.0  13.7  47.7/36.8/86.1       11.5 
75    Sam Hauser                BOS        42.97377812     13    15.5  7.5   51.5/45.6/75.0       5.2  
76    Cameron Johnson           PHX        42.77441679     8     25.3  13.0  44.6/43.1/72.7       11.0 
77    Collin Sexton             UTA        42.75947104     15    22.1  14.0  47.3/37.8/79.7       11.9 
78    Mikal Bridges             PHX        42.53619533     12    36.5  15.7  55.5/44.1/88.6       12.0 
79    O.G. Anunoby              TOR        42.53346439     14    35.3  17.2  47.4/37.7/81.4       14.9 
80    Gordon Hayward            CHA        42.25269371     8     31.0  17.4  47.2/35.7/78.4       15.3 
81    Kevin Love                CLE        42.04775223     13    21.2  12.2  42.5/40.7/85.3       9.8  
82    Cade Cunningham           DET        41.97625955     12    33.3  19.9  41.5/27.9/83.7       20.2 
83    Obi Toppin                NYK        41.80027794     13    17.7  10.1  48.1/40.0/100.0      8.3  
84    Cameron Payne             PHX        41.76259787     10    21.0  12.1  44.7/41.3/83.3       10.8 
85    Nikola Vucevic            CHI        41.61337169     14    31.1  16.0  46.9/39.3/91.4       13.9 
86    AJ Griffin                ATL        41.46810282     9     12.1  6.9   51.1/45.8/100.0      5.4  
87    Kelly Olynyk              UTA        41.44328767     15    26.8  12.3  54.6/50.0/77.5       9.1  
88    RJ Barrett                NYK        41.27037628     13    33.9  18.9  42.8/30.6/78.0       18.0 
89    Jamal Murray              DEN        41.12285856     12    28.7  16.2  43.8/34.5/73.1       15.8 
90    Wendell Carter Jr.        ORL        40.54203184     13    32.8  16.0  50.3/33.3/84.2       13.1 
91    Kevin Porter Jr.          HOU        40.34711407     13    35.0  19.2  41.5/34.2/77.6       18.2 
92    Brandon Clarke            MEM        40.32676774     14    18.0  9.6   63.5/0.0/73.0        7.2  
93    Jonas Valanciunas         NOP        40.25769652     13    24.3  13.8  50.4/37.5/84.6       11.7 
94    Nick Richards             CHA        39.69526807     14    19.4  10.1  63.9/0.0/72.9        7.4  
95    Al Horford                BOS        39.21678322     10    31.3  11.2  55.8/47.8/57.1       8.0  
96    Jakob Poeltl              SAS        39.21320805     13    29.2  12.6  64.3/0.0/46.5        10.1 
97    Chris Boucher             TOR        39.12626496     11    21.5  11.4  50.0/35.1/68.8       9.5  
98    Gary Trent Jr.            TOR        38.89054616     14    32.0  16.6  41.5/32.6/78.0       15.5 
99    Georges Niang             PHI        38.88726902     14    18.0  8.4   47.1/44.8/100.0      6.3  
100   De'Andre Hunter           ATL        38.83766751     13    29.5  15.0  47.2/35.3/71.4       13.6 
101   Lonnie Walker IV          LAL        38.68643263     10    31.1  15.7  45.7/31.4/79.3       14.2 
102   Dillon Brooks             MEM        38.52294964     11    29.2  15.5  40.5/38.7/71.4       15.7 
103   Tobias Harris             PHI        38.48887266     14    33.7  14.7  46.2/39.7/77.8       12.9 
104   Jordan Poole              GSW        38.46334817     13    28.5  15.6  41.2/33.0/82.6       14.2 
105   Russell Westbrook         LAL        38.43857855     11    29.5  16.5  42.7/36.2/80.4       15.5 
106   Malik Beasley             UTA        38.30919368     15    25.6  12.2  42.8/42.0/91.7       10.5 
107   Evan Mobley               CLE        37.98611786     13    33.9  14.8  55.3/18.2/70.8       12.5 
108   Seth Curry                BKN        37.83557464     5     19.3  9.8   42.5/40.7/80.0       8.4  
109   Rudy Gobert               MIN        37.82363821     12    32.4  14.0  61.6/0.0/68.7        10.7 
110   Larry Nance Jr.           NOP        37.7627145      12    23.2  9.3   66.7/50.0/66.7       6.7  
111   Jaden Ivey                DET        37.58466615     13    31.4  15.8  44.6/35.1/72.5       14.5 
112   Grant Williams            BOS        37.45011733     12    28.2  9.5   60.9/50.0/80.0       6.1  
113   Saddiq Bey                DET        37.2139848      14    31.7  16.1  42.3/30.8/91.4       13.8 
114   Kentavious Caldwell-Pope  DEN        37.1445989      12    31.0  11.8  50.0/54.5/75.0       8.9  
