idSeasonType,dateGame,timeEasternGame,idGame,yearSeason,slugTeamAway,slugTeamHome,slugGame,idStageGame,slugTeams,idGameStatus,hasExtendedStatus,isUnknownStartTime,datetimeGame,dateSlugGame,hasBuzzerBeater,urlNBAGameBook,quarterMaxPlayed,maxQuartersRegular,hasOvertime,countOTQuarters,isComplete,idTeamHome,nameTeamHome,scoreHome,isWinnerHome,isLoserHome,idTeamAway,nameTeamAway,scoreAway,isWinnerAway,isLoserAway,descriptionGame
0,2021-10-21,FALSE,22100016,2022,LAC,GSW,0022100016,2,LACGSW,3,0,FALSE,2021-10-22T02:00:00Z,20211021,10:00 PM ET,https://data.nba.net/prod/v1/20211021/20211021_Book.pdf,4,4,FALSE,0,TRUE,1610612744,Golden State Warriors,115,2,0,1610612746,Los Angeles Clippers,113,0,1,NA
0,2021-10-22,FALSE,22100017,2022,CHA,CLE,0022100017,2,CHACLE,3,0,FALSE,2021-10-22T23:00:00Z,20211022,7:00 PM ET,https://data.nba.net/prod/v1/20211022/20211022_Book.pdf,4,4,FALSE,0,TRUE,1610612739,Cleveland Cavaliers,112,0,2,1610612766,Charlotte Hornets,123,2,0,NA
0,2021-10-22,FALSE,22100018,2022,NYK,ORL,0022100018,2,NYKORL,3,0,FALSE,2021-10-22T23:00:00Z,20211022,7:00 PM ET,https://data.nba.net/prod/v1/20211022/20211022_Book.pdf,4,4,FALSE,0,TRUE,1610612753,Orlando Magic,96,0,2,1610612752,New York Knicks,121,2,0,NA
0,2021-10-22,FALSE,22100019,2022,IND,WAS,0022100019,2,INDWAS,3,0,FALSE,2021-10-22T23:00:00Z,20211022,7:00 PM ET,https://data.nba.net/prod/v1/20211022/20211022_Book.pdf,5,4,TRUE,1,TRUE,1610612764,Washington Wizards,135,2,0,1610612754,Indiana Pacers,134,0,2,NA
0,2021-10-22,FALSE,22100020,2022,TOR,BOS,0022100020,2,TORBOS,3,0,FALSE,2021-10-22T23:30:00Z,20211022,7:30 PM ET,https://data.nba.net/prod/v1/20211022/20211022_Book.pdf,4,4,FALSE,0,TRUE,1610612738,Boston Celtics,83,0,2,1610612761,Toronto Raptors,115,1,1,NA
0,2021-10-22,FALSE,22100021,2022,BKN,PHI,0022100021,2,BKNPHI,3,0,FALSE,2021-10-22T23:30:00Z,20211022,7:30 PM ET,https://data.nba.net/prod/v1/20211022/20211022_Book.pdf,4,4,FALSE,0,TRUE,1610612755,Philadelphia 76ers,109,1,1,1610612751,Brooklyn Nets,114,1,1,NA
0,2021-10-22,FALSE,22100022,2022,NOP,CHI,0022100022,2,NOPCHI,3,0,FALSE,2021-10-23T00:00:00Z,20211022,8:00 PM ET,https://data.nba.net/prod/v1/20211022/20211022_Book.pdf,4,4,FALSE,0,TRUE,1610612741,Chicago Bulls,128,2,0,1610612740,New Orleans Pelicans,112,0,2,NA
0,2021-10-22,FALSE,22100023,2022,OKC,HOU,0022100023,2,OKCHOU,3,0,FALSE,2021-10-23T00:00:00Z,20211022,8:00 PM ET,https://data.nba.net/prod/v1/20211022/20211022_Book.pdf,4,4,FALSE,0,TRUE,1610612745,Houston Rockets,124,1,1,1610612760,Oklahoma City Thunder,91,0,2,NA
0,2021-10-22,FALSE,22100024,2022,SAS,DEN,0022100024,2,SASDEN,3,0,FALSE,2021-10-23T01:00:00Z,20211022,9:00 PM ET,https://data.nba.net/prod/v1/20211022/20211022_Book.pdf,4,4,FALSE,0,TRUE,1610612743,Denver Nuggets,102,2,0,1610612759,San Antonio Spurs,96,1,1,NA
0,2021-10-22,FALSE,22100025,2022,PHX,LAL,0022100025,2,PHXLAL,3,0,FALSE,2021-10-23T02:00:00Z,20211022,10:00 PM ET,https://data.nba.net/prod/v1/20211022/20211022_Book.pdf,4,4,FALSE,0,TRUE,1610612747,Los Angeles Lakers,105,0,2,1610612756,Phoenix Suns,115,1,1,NA
0,2021-10-22,FALSE,22100026,2022,UTA,SAC,0022100026,2,UTASAC,3,0,FALSE,2021-10-23T02:00:00Z,20211022,10:00 PM ET,https://data.nba.net/prod/v1/20211022/20211022_Book.pdf,4,4,FALSE,0,TRUE,1610612758,Sacramento Kings,101,1,1,1610612762,Utah Jazz,110,2,0,NA
0,2021-10-23,FALSE,22100027,2022,ATL,CLE,0022100027,2,ATLCLE,3,0,FALSE,2021-10-23T22:00:00Z,20211023,6:00 PM ET,https://data.nba.net/prod/v1/20211023/20211023_Book.pdf,4,4,FALSE,0,TRUE,1610612739,Cleveland Cavaliers,101,1,2,1610612737,Atlanta Hawks,95,1,1,NA
0,2021-10-23,FALSE,22100028,2022,MIA,IND,0022100028,2,MIAIND,3,0,FALSE,2021-10-23T23:00:00Z,20211023,7:00 PM ET,https://data.nba.net/prod/v1/20211023/20211023_Book.pdf,5,4,TRUE,1,TRUE,1610612754,Indiana Pacers,102,1,2,1610612748,Miami Heat,91,1,1,NA
